product_name,category_name,price,sub_category_name
Advantus Plastic Paper Clips,Office Supplies,45.0,Fasteners
Advantus Push Pins,Office Supplies,6.54,Fasteners
"Advantus Push Pins, Aluminum Head",Office Supplies,11.62,Fasteners
Advantus Rolling Drawer Organizers,Office Supplies,423.28,Storage
Advantus Rolling Storage Box,Office Supplies,51.45,Storage
Advantus SlideClip Paper Clips,Office Supplies,10.23,Fasteners
Advantus T-Pin Paper Clips,Office Supplies,22.55,Fasteners
Airmail Envelopes,Office Supplies,335.72,Envelopes
Akro Stacking Bins,Office Supplies,12.624,Storage
Akro-Mils 12-Gallon Tote,Office Supplies,19.86,Storage
"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,3.96,Fasteners
Alliance Rubber Bands,Office Supplies,5.04,Fasteners
"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,31.12,Fasteners
Alphabetical Labels for Top Tab Filing,Office Supplies,103.6,Labels
Aluminum Document Frame,Furniture,73.32,Furnishings
Aluminum Screw Posts,Office Supplies,9.156,Binders
AmazonBasics 3-Button USB Wired Mouse,Technology,13.98,Accessories
American Pencil,Office Supplies,9.32,Art
Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,604.656,Envelopes
Ampad #10 Peel & Seel Holiday Envelopes,Office Supplies,17.92,Envelopes
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",Office Supplies,3.488,Paper
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,17.64,Paper
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ï¿½ï¿½ï¿½ï¿½ï",Office Supplies,24.96,Binders
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,13.62,Paper
Anderson Hickey Conga Table Tops & Accessories,Furniture,27.414,Tables
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,2.92,Binders
Angle-D Ring Binders,Office Supplies,3.282,Binders
Anker 24W Portable Micro USB Car Charger,Technology,26.376,Phones
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,47.976,Phones
Anker Astro 15000mAh USB Portable Charger,Technology,159.968,Phones
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,31.984,Phones
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,47.976,Accessories
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Technology,29.99,Accessories
Apple EarPods with Remote and Mic,Technology,83.97,Phones
Apple iPhone 5,Technology,779.796,Phones
Apple iPhone 5C,Technology,239.976,Phones
Apple iPhone 5S,Technology,911.984,Phones
Array Memo Cubes,Office Supplies,15.54,Paper
"Array Parchment Paper, Assorted Colors",Office Supplies,36.4,Paper
Artistic Insta-Plaque,Furniture,47.04,Furnishings
Assorted Color Push Pins,Office Supplies,2.896,Fasteners
Astroparche Fine Business Paper,Office Supplies,8.448,Paper
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Technology,494.97,Phones
Ativa MDM8000 8-Sheet Micro-Cut Shredder,Technology,287.968,Machines
Ativa V4110MDD Micro-Cut Shredder,Technology,2799.96,Machines
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,72.294,Bookcases
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,521.96,Bookcases
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,1573.488,Bookcases
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,1227.9984,Bookcases
Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,706.86,Appliances
Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,361.96,Appliances
Avaya 4621SW VoIP phone,Technology,177.48,Phones
Avaya 5410 Digital phone,Technology,108.784,Phones
Avaya 5420 Digital phone,Technology,944.93,Phones
Avaya IP Phone 1140E VoIP phone,Technology,1394.95,Phones
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Office Supplies,12.39,Labels
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,20.88,Binders
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,24.424,Labels
Avery 473,Office Supplies,20.7,Labels
Avery 474,Office Supplies,8.64,Labels
Avery 475,Office Supplies,44.4,Labels
Avery 476,Office Supplies,9.912,Labels
Avery 477,Office Supplies,274.77,Labels
Avery 478,Office Supplies,9.82,Labels
Avery 479,Office Supplies,7.83,Labels
Avery 48,Office Supplies,18.9,Labels
Avery 480,Office Supplies,15.0,Labels
Avery 481,Office Supplies,21.56,Labels
Avery 482,Office Supplies,2.89,Labels
Avery 483,Office Supplies,14.94,Labels
Avery 484,Office Supplies,9.216,Labels
Avery 485,Office Supplies,75.18,Labels
Avery 486,Office Supplies,21.93,Labels
Avery 487,Office Supplies,3.69,Labels
Avery 488,Office Supplies,3.15,Labels
Avery 489,Office Supplies,41.4,Labels
Avery 49,Office Supplies,2.88,Labels
Avery 490,Office Supplies,44.4,Labels
Avery 491,Office Supplies,28.91,Labels
Avery 492,Office Supplies,14.4,Labels
Avery 493,Office Supplies,15.712,Labels
Avery 494,Office Supplies,13.05,Labels
Avery 495,Office Supplies,15.12,Labels
Avery 496,Office Supplies,6.0,Labels
Avery 497,Office Supplies,21.56,Labels
Avery 498,Office Supplies,9.248,Labels
Avery 499,Office Supplies,9.96,Labels
Avery 5,Office Supplies,5.76,Labels
Avery 50,Office Supplies,25.06,Labels
Avery 500,Office Supplies,14.62,Labels
Avery 501,Office Supplies,11.808,Labels
Avery 502,Office Supplies,5.04,Labels
Avery 503,Office Supplies,31.05,Labels
Avery 505,Office Supplies,59.2,Labels
Avery 506,Office Supplies,20.65,Labels
Avery 507,Office Supplies,5.76,Labels
Avery 508,Office Supplies,11.784,Labels
Avery 509,Office Supplies,15.66,Labels
Avery 51,Office Supplies,18.9,Labels
Avery 510,Office Supplies,12.0,Labels
Avery 511,Office Supplies,3.08,Labels
Avery 512,Office Supplies,14.45,Labels
Avery 513,Office Supplies,47.808,Labels
Avery 514,Office Supplies,14.4,Labels
Avery 515,Office Supplies,37.59,Labels
Avery 516,Office Supplies,14.62,Labels
Avery 517,Office Supplies,3.69,Labels
Avery 518,Office Supplies,18.9,Labels
Avery 519,Office Supplies,29.24,Labels
Avery 52,Office Supplies,5.904,Labels
Avery 520,Office Supplies,2.52,Labels
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,16.56,Labels
Avery Arch Ring Binders,Office Supplies,104.58,Binders
Avery Binder Labels,Office Supplies,1.167,Binders
Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,18.464,Binders
Avery Durable Binders,Office Supplies,5.184,Binders
"Avery Durable Plastic 1"" Binders",Office Supplies,10.896,Binders
Avery Durable Poly Binders,Office Supplies,13.272,Binders
Avery Durable Slant Ring Binders,Office Supplies,3.168,Binders
Avery Durable Slant Ring Binders With Label Holder,Office Supplies,3.762,Binders
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,5.97,Binders
Avery File Folder Labels,Office Supplies,6.912,Labels
"Avery Flip-Chart Easel Binder, Black",Office Supplies,8.952,Binders
Avery Fluorescent Highlighter Four-Color Set,Office Supplies,8.016,Art
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,15.968,Binders
Avery Hanging File Binders,Office Supplies,14.352,Binders
Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,31.248,Binders
Avery Heavy-Duty EZD View Binder with Locking Rings,Office Supplies,3.828,Binders
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,3.9,Art
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,19.536,Art
Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,3.38,Art
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,13.04,Art
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,7.7,Art
Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,17.52,Art
Avery Hidden Tab Dividers for Binding Systems,Office Supplies,1.788,Binders
Avery Hole Reinforcements,Office Supplies,1.869,Binders
Avery Legal 4-Ring Binder,Office Supplies,83.92,Binders
Avery Metallic Poly Binders,Office Supplies,3.438,Binders
Avery Non-Stick Binders,Office Supplies,7.184,Binders
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,35.88,Binders
Avery Personal Creations Heavyweight Cards,Office Supplies,27.696,Paper
Avery Poly Binder Pockets,Office Supplies,7.16,Binders
Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,8.568,Binders
Avery Printable Repositionable Plastic Tabs,Office Supplies,1.72,Binders
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,32.06,Binders
Avery Reinforcements for Hole-Punch Pages,Office Supplies,3.96,Binders
Avery Round Ring Poly Binders,Office Supplies,0.852,Binders
Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,2.724,Binders
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,25.164,Binders
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,65.568,Binders
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,1.476,Binders
Avery White Multi-Purpose Labels,Office Supplies,39.84,Labels
Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,3.38,Paper
BIC Brite Liner Grip Highlighters,Office Supplies,5.248,Art
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Office Supplies,25.44,Art
BIC Brite Liner Highlighters,Office Supplies,9.936,Art
"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,15.552,Art
BIC Liqua Brite Liner,Office Supplies,16.656,Art
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,53.94,Art
"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,83.168,Art
BPI Conference Tables,Furniture,292.1,Tables
Bady BDG101FRU Card Printer,Technology,1919.976,Machines
Bagged Rubber Bands,Office Supplies,7.56,Fasteners
Balt Solid Wood Rectangular Table,Furniture,174.0585,Tables
Balt Solid Wood Round Tables,Furniture,1071.576,Tables
Balt Split Level Computer Training Table,Furniture,333.0,Tables
Barrel Sharpener,Office Supplies,10.71,Art
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,70.56,Tables
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,136.464,Tables
"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,353.88,Storage
"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,123.552,Storage
"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,387.136,Appliances
Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,163.44,Appliances
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,32.67,Appliances
Belkin 7 Outlet SurgeMaster II,Office Supplies,39.48,Appliances
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,157.92,Appliances
Belkin 7-Outlet SurgeMaster Home Series,Office Supplies,13.97,Appliances
Belkin 8 Outlet Surge Protector,Office Supplies,81.96,Appliances
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,143.952,Appliances
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,647.84,Appliances
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,Office Supplies,208.44,Appliances
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,114.9,Appliances
Belkin F8E887 USB Wired Ergonomic Keyboard,Technology,89.97,Accessories
Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,106.96,Appliances
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Office Supplies,56.52,Appliances
Belkin F9M820V08 8 Outlet Surge,Office Supplies,309.456,Appliances
Belkin F9S820V06 8 Outlet Surge,Office Supplies,129.92,Appliances
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Technology,21.072,Phones
Belkin OmniView SE Rackmount Kit,Office Supplies,212.88,Storage
Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,19.432,Appliances
Belkin QODE FastFit Bluetooth Keyboard,Technology,247.8,Accessories
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Technology,26.982,Phones
Belkin Standard 104 key USB Keyboard,Technology,46.688,Accessories
Belkin iPhone and iPad Lightning Cable,Technology,11.992,Phones
Berol Giant Pencil Sharpener,Office Supplies,16.99,Art
Bestar Classic Bookcase,Furniture,349.965,Bookcases
Bevis 36 x 72 Conference Tables,Furniture,99.592,Tables
Bevis 44 x 96 Conference Tables,Furniture,617.7,Tables
Bevis Boat-Shaped Conference Table,Furniture,629.064,Tables
"Bevis Oval Conference Table, Walnut",Furniture,626.352,Tables
Bevis Rectangular Conference Tables,Furniture,145.98,Tables
"Bevis Round Bullnose 29"" High Table Top",Furniture,1298.55,Tables
Bevis Round Conference Room Tables and Bases,Furniture,376.509,Tables
Bevis Round Conference Table Top & Single Column Base,Furniture,351.216,Tables
"Bevis Round Conference Table Top, X-Base",Furniture,268.935,Tables
Bevis Steel Folding Chairs,Furniture,230.28,Chairs
"Bevis Traditional Conference Table Top, Plinth Base",Furniture,700.056,Tables
Binder Clips by OIC,Office Supplies,2.368,Fasteners
Binder Posts,Office Supplies,17.22,Binders
Binding Machine Supplies,Office Supplies,70.008,Binders
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,7.408,Art
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",Office Supplies,2.696,Art
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,10.75,Art
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,6.048,Art
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",Office Supplies,4.56,Art
Bionaire 99.97% HEPA Air Cleaner,Office Supplies,14.016,Appliances
Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,93.78,Appliances
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Office Supplies,16.78,Appliances
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Office Supplies,26.424,Binders
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,17.472,Paper
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",Office Supplies,63.77,Paper
BlackBerry Q10,Technology,806.336,Phones
Blackstonian Pencils,Office Supplies,5.34,Art
Blue Parrot B250XT Professional Grade Wireless Bluetoothï¿½ï¿½Headsetï¿,Technology,419.944,Binders
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,79.96,Envelopes
"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,95.968,Phones
Bose SoundLink Bluetooth Speaker,Technology,318.4,Phones
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,70.368,Art
Boston 16701 Slimline Battery Pencil Sharpener,Office Supplies,38.256,Art
Boston 16750 Black Compact Battery Pencil Sharpener,Office Supplies,35.0,Art
Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,18.656,Art
Boston 16801 Nautilus Battery Pencil Sharpener,Office Supplies,66.03,Art
Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,42.76,Art
Boston 1799 Powerhouse Electric Pencil Sharpener,Office Supplies,181.86,Art
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",Office Supplies,39.66,Art
Boston 1900 Electric Pencil Sharpener,Office Supplies,14.98,Art
Boston 19500 Mighty Mite Electric Pencil Sharpener,Office Supplies,60.45,Art
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,56.3,Art
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,289.2,Art
Boston Home & Office Model 2000 Electric Pencil Sharpeners,Office Supplies,70.95,Art
Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,45.98,Art
"Boston Model 1800 Electric Pencil Sharpener, Gray",Office Supplies,197.05,Art
"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,99.136,Art
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,218.75,Tables
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,2.6,Appliances
Bretford CR4500 Series Slim Rectangular Table,Furniture,1218.735,Tables
Bretford CR8500 Series Meeting Room Furniture,Furniture,1202.94,Tables
Bretford Rectangular Conference Table Tops,Furniture,1579.746,Tables
Bretford ï¿½ï¿½ï¿½Just In Timeï¿½ï¿½ï¿½ Height-Adjustable Multi-Task,Furniture,626.1,Binders
"Brites Rubber Bands, 1 1/2 oz. Box",Office Supplies,3.168,Fasteners
Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,479.984,Copiers
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Technology,341.991,Machines
Brown Kraft Recycled Envelopes,Office Supplies,50.94,Envelopes
Bulldog Table or Wall-Mount Pencil Sharpener,Office Supplies,17.97,Art
Bulldog Vacuum Base Pencil Sharpener,Office Supplies,47.96,Art
Bush Advantage Collection Racetrack Conference Table,Furniture,890.841,Tables
Bush Advantage Collection Round Conference Table,Furniture,744.1,Tables
"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,305.9745,Bookcases
"Bush Andora Conference Table, Maple/Graphite Gray Finish",Furniture,205.176,Tables
"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,825.174,Bookcases
"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,66.294,Bookcases
"Bush Cubix Conference Tables, Fully Assembled",Furniture,692.94,Tables
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,119.833,Bookcases
Bush Mission Pointe Library,Furniture,301.96,Bookcases
